label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
60,1217,1144,530,364,DC97592_ideal.jpg,3000,4000
60,342,1960,166,137,DC97592_ideal.jpg,3000,4000
120,322,2204,198,140,DC97592_ideal.jpg,3000,4000
100,605,1976,208,114,DC97592_ideal.jpg,3000,4000
300,605,2210,195,140,DC97592_ideal.jpg,3000,4000
130,872,1970,205,124,DC97592_ideal.jpg,3000,4000
500,891,2217,182,117,DC97592_ideal.jpg,3000,4000
160,1155,1976,202,130,DC97592_ideal.jpg,3000,4000
700,1161,2214,192,120,DC97592_ideal.jpg,3000,4000
180,1457,1970,176,130,DC97592_ideal.jpg,3000,4000
900,1447,2210,182,143,DC97592_ideal.jpg,3000,4000
200,1717,1966,182,130,DC97592_ideal.jpg,3000,4000
1100,1714,2223,211,107,DC97592_ideal.jpg,3000,4000
220,1991,1986,198,104,DC97592_ideal.jpg,3000,4000
1300,1978,2201,231,140,DC97592_ideal.jpg,3000,4000
240C,2241,1993,309,107,DC97592_ideal.jpg,3000,4000
1600W,2248,2207,302,133,DC97592_ideal.jpg,3000,4000
Fry,260,1477,221,112,DC97592_ideal.jpg,3000,4000
Deep fry,2261,1469,520,140,DC97592_ideal.jpg,3000,4000
###,236,1343,275,135,DC97592_ideal.jpg,3000,4000
###,2349,1337,278,132,DC97592_ideal.jpg,3000,4000
60,1176,1251,519,383,DC97572_blurry.jpg,3000,4000
60,354,2117,165,100,DC97572_blurry.jpg,3000,4000
120,321,2331,225,129,DC97572_blurry.jpg,3000,4000
100,586,2124,236,86,DC97572_blurry.jpg,3000,4000
300,611,2349,193,100,DC97572_blurry.jpg,3000,4000
130,880,2095,204,125,DC97572_blurry.jpg,3000,4000
500,872,2346,204,86,DC97572_blurry.jpg,3000,4000
160,1148,2102,200,97,DC97572_blurry.jpg,3000,4000
700,1141,2331,222,104,DC97572_blurry.jpg,3000,4000
180,1416,2099,190,100,DC97572_blurry.jpg,3000,4000
900,1420,2313,193,122,DC97572_blurry.jpg,3000,4000
200,1677,2092,200,111,DC97572_blurry.jpg,3000,4000
1100,1659,2303,247,129,DC97572_blurry.jpg,3000,4000
220,1946,2088,190,111,DC97572_blurry.jpg,3000,4000
1300,1942,2303,204,122,DC97572_blurry.jpg,3000,4000
240C,2189,2077,247,111,DC97572_blurry.jpg,3000,4000
1600W,2185,2303,301,114,DC97572_blurry.jpg,3000,4000
Fry,214,1641,286,107,DC97572_blurry.jpg,3000,4000
Deep fry,2196,1591,512,111,DC97572_blurry.jpg,3000,4000
###,193,1500,318,135,DC97572_blurry.jpg,3000,4000
###,2272,1472,278,111,DC97572_blurry.jpg,3000,4000
60,1858,835,453,346,DC97592_rotated.jpg,4000,3000
60,1106,1568,166,97,DC97592_rotated.jpg,4000,3000
120,1112,1761,164,118,DC97592_rotated.jpg,4000,3000
100,1348,1574,172,91,DC97592_rotated.jpg,4000,3000
300,1329,1751,193,145,DC97592_rotated.jpg,4000,3000
130,1573,1565,196,99,DC97592_rotated.jpg,4000,3000
500,1587,1759,158,107,DC97592_rotated.jpg,4000,3000
160,1815,1549,166,107,DC97592_rotated.jpg,4000,3000
700,1831,1759,140,123,DC97592_rotated.jpg,4000,3000
180,2045,1579,164,83,DC97592_rotated.jpg,4000,3000
900,2045,1772,164,102,DC97592_rotated.jpg,4000,3000
200,2271,1568,172,105,DC97592_rotated.jpg,4000,3000
1100,2260,1777,201,99,DC97592_rotated.jpg,4000,3000
220,2507,1574,153,102,DC97592_rotated.jpg,4000,3000
1300,2504,1759,180,131,DC97592_rotated.jpg,4000,3000
240C,2714,1579,250,94,DC97592_rotated.jpg,4000,3000
1600W,2711,1772,268,107,DC97592_rotated.jpg,4000,3000
Fry,1069,1139,172,94,DC97592_rotated.jpg,4000,3000
Deep fry,2722,1142,435,110,DC97592_rotated.jpg,4000,3000
Soup,307,1127,254,107,DC97592_rotated.jpg,4000,3000
###,382,1043,112,100,DC97592_rotated.jpg,4000,3000
###,1026,1036,243,110,DC97592_rotated.jpg,4000,3000
Hot pot,132,1869,350,103,DC97592_rotated.jpg,4000,3000
###,191,1775,215,103,DC97592_rotated.jpg,4000,3000
###,2813,1045,215,105,DC97592_rotated.jpg,4000,3000
Braise,3522,1164,289,98,DC97592_rotated.jpg,4000,3000
###,3541,1068,219,98,DC97592_rotated.jpg,4000,3000
Timer,3564,1885,268,96,DC97592_rotated.jpg,4000,3000
###,3580,1785,210,107,DC97592_rotated.jpg,4000,3000
