label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
16,365,153,41,50,FUkmy01I1609669936.jpg,665,665
12:02,364,214,58,32,FUkmy01I1609669936.jpg,665,665
YORK,309,2,94,34,FUkmy01I1609669936.jpg,665,665
AM,340,217,25,15,FUkmy01I1609669936.jpg,665,665
MODE,265,366,42,27,FUkmy01I1609669936.jpg,665,665
SLEEP,371,503,48,23,FUkmy01I1609669936.jpg,665,665
SET,376,545,37,23,FUkmy01I1609669936.jpg,665,665
TIMER,256,544,45,19,FUkmy01I1609669936.jpg,665,665
CLOCK,257,502,46,23,FUkmy01I1609669936.jpg,665,665
HEALTH,313,461,51,20,FUkmy01I1609669936.jpg,665,665
