label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
GRILL,294,461,138,54,DC97687_ideal.jpg,960,1280
3:20 TIMER,463,601,245,105,DC97687_ideal.jpg,960,1280
AUTO MENU,446,845,172,34,DC97687_ideal.jpg,960,1280
A1,347,921,43,30,DC97687_ideal.jpg,960,1280
A2,450,921,45,30,DC97687_ideal.jpg,960,1280
A3,558,925,45,27,DC97687_ideal.jpg,960,1280
A4,662,925,43,27,DC97687_ideal.jpg,960,1280
A5,343,1037,46,30,DC97687_ideal.jpg,960,1280
A6,450,1034,43,34,DC97687_ideal.jpg,960,1280
A7,559,1039,37,24,DC97687_ideal.jpg,960,1280
A8,663,1034,40,28,DC97687_ideal.jpg,960,1280
Pizza,339,962,57,25,DC97687_ideal.jpg,960,1280
Meat,443,964,58,21,DC97687_ideal.jpg,960,1280
Meat,888,856,2,1,DC97687_ideal.jpg,960,1280
Vegetable,525,963,104,22,DC97687_ideal.jpg,960,1280
Pasta,651,962,64,24,DC97687_ideal.jpg,960,1280
Potato,331,1075,73,21,DC97687_ideal.jpg,960,1280
Fish,442,1077,60,18,DC97687_ideal.jpg,960,1280
Beverage,528,1068,99,28,DC97687_ideal.jpg,960,1280
Popcorn,637,1068,89,31,DC97687_ideal.jpg,960,1280
