label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
30,707,494,108,114,photo1669167812.jpeg,960,892
9+21,162,414,167,68,photo1669167812.jpeg,960,892
SCIENTIFIC CALCULATOR,174,194,657,55,photo1669167812.jpeg,960,892
JS-82MS-A,627,84,277,43,photo1669167812.jpeg,960,892
JOINUS,109,60,277,82,photo1669167812.jpeg,960,892
SHIFT,68,720,82,36,photo1669167812.jpeg,960,892
ALPHA,194,736,107,34,photo1669167812.jpeg,960,892
MODE CLR,681,745,158,34,photo1669167812.jpeg,960,892
ON,876,734,60,30,photo1669167812.jpeg,960,892
REPLAY,426,842,140,42,photo1669167812.jpeg,960,892
9+21,170,426,251,89,photo1669168925.jpeg,1080,962
30,739,536,138,112,photo1669168925.jpeg,1080,962
JOINUS,123,63,309,74,photo1669168925.jpeg,1080,962
JS-82MS-A,696,93,296,48,photo1669168925.jpeg,1080,962
SCIENTIFIC CALCULATOR,203,201,705,56,photo1669168925.jpeg,1080,962
SHIFT,71,772,91,41,photo1669168925.jpeg,1080,962
ALPHA,214,793,115,39,photo1669168925.jpeg,1080,962
MODE CLR,735,804,173,41,photo1669168925.jpeg,1080,962
ON,953,789,61,37,photo1669168925.jpeg,1080,962
REPLAY,482,914,134,35,photo1669168925.jpeg,1080,962
JOINUS,85,63,308,69,photo1669168866.jpeg,1080,933
JS-82MS-A,649,86,287,50,photo1669168866.jpeg,1080,933
SCIENTIFIC CALCULATOR,171,199,688,52,photo1669168866.jpeg,1080,933
9+21,148,428,176,69,photo1669168866.jpeg,1080,933
30,731,526,94,109,photo1669168866.jpeg,1080,933
SHIFT,47,753,88,36,photo1669168866.jpeg,1080,933
ALPHA,186,769,109,36,photo1669168866.jpeg,1080,933
REPLAY,441,887,136,34,photo1669168866.jpeg,1080,933
MODE CLR,689,780,170,40,photo1669168866.jpeg,1080,933
ON,901,767,57,36,photo1669168866.jpeg,1080,933
JOINUS,107,60,285,62,photo1669168833.jpeg,1080,893
JS-82MS-A,632,70,269,44,photo1669168833.jpeg,1080,893
SCIENTIFIC CALCULATOR,185,183,648,42,photo1669168833.jpeg,1080,893
9+21,155,389,223,72,photo1669168833.jpeg,1080,893
30,693,478,124,110,photo1669168833.jpeg,1080,893
SHIFT,56,716,92,34,photo1669168833.jpeg,1080,893
ALPHA,193,732,108,34,photo1669168833.jpeg,1080,893
MODE CLR,688,734,159,38,photo1669168833.jpeg,1080,893
ON,891,722,56,30,photo1669168833.jpeg,1080,893
REPLAY,442,845,130,32,photo1669168833.jpeg,1080,893
