label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
56,322,554,128,102,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
WATER LEVEL,155,754,90,64,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
TUB CLEAN,531,610,130,45,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
SOAK,491,787,57,36,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,38,507,69,33,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,152,509,79,37,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,38,546,77,35,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,167,551,50,35,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,34,588,73,27,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,153,590,60,37,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,36,624,60,35,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,123,638,77,31,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,307,765,123,56,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
ADD,530,655,140,38,WhatsApp Image 2022-11-23 at 8.15.57 AM.jpeg,768,1024
SOAK,75,480,100,50,415c9e67-75b3-4b00-acd0-dc876fcad01d.jfif,768,1024
SOAK,92,549,106,46,415c9e67-75b3-4b00-acd0-dc876fcad01d.jfif,768,1024
