label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Digits,530,267,118,77,photo_6334517956746261563_y.jpg,1280,922
On,808,186,33,64,photo_6334517956746261563_y.jpg,1280,922
Mode,775,346,37,104,photo_6334517956746261563_y.jpg,1280,922
Alpha,669,804,37,108,photo_6334517956746261563_y.jpg,1280,922
Digits,882,515,92,135,photo_6334517956746261564_y.jpg,1264,1280
Alpha,137,906,138,52,photo_6334517956746261564_y.jpg,1264,1280
Mode,810,883,118,49,photo_6334517956746261564_y.jpg,1264,1280
On,1078,863,101,35,photo_6334517956746261564_y.jpg,1264,1280
Digits,893,528,115,147,photo_6334517956746261565_y.jpg,1280,1187
Shift,56,848,112,53,photo_6334517956746261565_y.jpg,1280,1187
Alpha,227,891,120,35,photo_6334517956746261565_y.jpg,1280,1187
Mode,840,880,117,40,photo_6334517956746261565_y.jpg,1280,1187
On,1096,870,77,37,photo_6334517956746261565_y.jpg,1280,1187
Digits,891,574,151,143,photo_6334517956746261566_y.jpg,1280,1060
Shift,13,905,157,50,photo_6334517956746261566_y.jpg,1280,1060
Alpha,210,945,137,46,photo_6334517956746261566_y.jpg,1280,1060
Mode,855,947,123,42,photo_6334517956746261566_y.jpg,1280,1060
On,1137,923,67,38,photo_6334517956746261566_y.jpg,1280,1060
