label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
12.84,418,401,83,34,DC98104_Blurry.jpeg,867,1156
C000,308,401,98,35,DC98104_Blurry.jpeg,867,1156
UTN12000586,315,595,178,26,DC98104_Blurry.jpeg,867,1156
12.84,405,499,89,40,DC98104_Glare.jpeg,867,1156
C000,286,496,101,43,DC98104_Glare.jpeg,867,1156
UTN12000586,284,724,192,25,DC98104_Glare.jpeg,867,1156
12.84,414,528,74,34,DC98104_Ideal.jpeg,867,1156
C000,317,531,86,32,DC98104_Ideal.jpeg,867,1156
UTN12000586,321,717,154,22,DC98104_Ideal.jpeg,867,1156
12.84,407,438,89,40,DC98104_Rotated.jpeg,1036,1080
C000,514,437,105,40,DC98104_Rotated.jpeg,1036,1080
UTN12000586,420,227,191,25,DC98104_Rotated.jpeg,1036,1080
